語,發音,漢字、原文,中文意思
あぶら,0,油、脂,油、脂肪
あぶらえ,3,油絵,油畫
アフリカ,0,Africa,非洲
あぶる,2,炙る、焙る「火に〜」,烘、烤
あふれる,3,溢れる,滿、溢、充滿
アプローチ,3,approach,方法、入口、接近
あべこべ,0,あべこべ,反對、相反
あまい,0,甘い,甜、甜蜜、姑且、天真、不緊
あまえる,0,甘える,撒嬌
あまぐ,2,雨具,雨具
あまくち,0,甘口,帯甜味的
アマチュア,0,amateur,業餘愛好者、非專業
あまど,2,雨戸,木板套窗
あまやかす,0,甘やかす,娇惯；溺爱
あまり,0,余り,餘、剩餘、過於
あまり,0,余,餘、多餘
あまる,2,余る,餘、剩、過份
あみ,2,網,網、鐵絲網
あみもの,2,編物,編織的東西
あむ,1,編む,編織、編輯
あめ,0,飴,麥芽糖
あめ,1,雨,雨、雨天
アメリカ,0,America,美國
あやうい,0,危うい,危險的、危急的
あやしい,0,怪しい,奇怪的、靠不住
あやつる,3,操る,要、操縱
あやぶむ,3,危ぶむ,掛念、擔心
あやふや,0,あやふや,含糊、靠不住
あやまち,0,過ち,錯、過失
あやまり,3,誤り,錯誤、失誤
あやまる,3,謝る,道歉
あやまる,3,誤る,弄錯、錯誤、認錯
あゆみ,3,歩み,步行、走
あゆむ,2,歩む,步行、進展
あら,1,あら,唉呀！
あらい,0,荒い,粗暴、粗大
あらう,0,洗う,洗、調查
あらかじめ,0,予め,預先
あらし,1,嵐,風暴
あらす,0,荒らす,破壞、使荒廢
あらすじ,0,粗筋,概略
あらそい,0,争い,爭奪、爭執、紛爭
あらそう,3,争う,爭奪、競爭
あらた,1,新た,重新
あらたまる,4,改まる,郑重其事、改良、革新
あらためて,3,改めて,重新、再
あらためる,4,改める,改變、修改
あらっぽい,0,荒っぽい,粗暴的、粗糙的
アラブ,1,Arab,阿拉伯
あらゆる,3,あらゆる,所有、一切
あられ,0,霰,雪珠、霰
あらわす,3,表わす/現す/著す,表示、表現/顯出、露出/著
あらわれ,0,現れ,表現、結果
あらわれる,4,現れる,出現、被發現
ありがたい,4,有難い,難得的、值得感謝
（どうも）ありがとうございます/ありがとうございました。,,（どうも）有難う御座居ます/有難う御座居ました。,謝謝、非常感謝
ありさま,0,有様,情況、狀態、樣子
ありのまま,0,有りの儘,照原樣、如實地
ありふれる,0,有触れる,常見、不稀奇
ある,1,在る[存在],在
ある,1,有る[所有],有
ある,1,或る,或、有、某
あるいは,2,或いは,或是
アルカリ,0,alkali,鹼
あるく,2,歩く,步行、走
アルコール,0,alcohol,酒精
アルバイト,3,Arbeit,打工
アルバム,0,album,相冊、紀念冊、專輯
アルミ,0,aluminum,鋁
あれ,0,あれ,那個、那裡
あれ,1,あれ,哎呀
あれこれ,2,あれこれ,這個那個
あれる,0,荒れる,荒蕪、荒廢
あわ,2,泡,泡、沫、水花
アワー,1,hour,時間、時刻
あわす,2,合わす,合併、配合、調準、比較
あわせ,3,合わせ,合
あわせる,3,合わせる/併せる,合併、配合、調準、比較/把…合而為一
あわただしい,5,慌しい,慌忙的
あわてる,0,慌てる,驚慌
あわれ,1,哀れ,悲哀、可憐
あん,1,案,想法、建議、設想
あんい,0,安易,輕易、草率、不慎重
あんがい,0,案外,意外地、出乎意料
あんき,0,暗記,記住、背下來
アンケート,1,enquête,問卷調查
アンコール,3,encore,再一次、安可
あんさつ,0,暗殺,暗殺
あんざん,0,暗算,心算、暗算
あんじ,0,暗示,暗示
あんじる,0,案じる,掛念、擔心
あんしん（する）,0,安心（する）,安心、放心
あんせい,0,安静,安靜
あんぜん,0,安全,安全
あんてい,0,安定,安定、穩定性
アンテナ,0,antenna,天線
あんな,0,あんな,那樣的
あんない（する）,3,案内（する）,引導、指南
あんなに,0,あんなに,那麼、那樣的
あんのじょう,3,案の定,果然、正如所料
あんまり,0,あんまり,過分、太過（多用於否定）
い,0,胃,胃
い,1,位,第〜名
い,0,異,不同、奇異
い,1,意,心意、意義、意思
いい/よい,1,良い,好、合適、為好
いいえ,3,いいえ,不、不是
いいかげん,0,好い加減,馬虎、不徹底、相當、適當
いいだす,3,言い出す,說出來、開始說
いいつける,4,言い付ける,吩咐、命令、告狀、告發
いいわけ,0,言い訳,辯解、分辯
いいん,1,委員,委員
いいん,1,医院,醫院、私人診所
いう,0,言う,說、稱為
いえ,2,家,房子、住宅
いえ,1,いえ,不、不是的
イエス,2,yes,是、同意
いえで,0,家出,離家出走
いか,1,以下,以下、下面、後面
いがい,1,以外,以外、除…之外
いがい,0,意外,意外、想不到
いかが,2,如何,如何、是否合適
いがく,1,医学,醫學
いかす,2,生かす,使…活著、留活命
いかに,2,いかに,如何、怎樣、無論怎樣…也
いかにも,2,いかにも,非常、的確、好像
いかり,0,怒り,憤怒
いき,1,息,呼吸、氣息
いき,0,粋,漂亮、風流
いぎ,1,意義,意義
いぎ,1,異議,不同意見
いき/ゆき,2,行,去、往、開往…
いきいき,3,生き生き,生氣勃勃
いきおい,3,勢い,氣勢、力量、趨勢
いきがい,0,生甲斐,生存意義、活著的樂趣
いきごむ,3,意気込む,幹勁
いきちがい,0,行き違い,走岔、(聯繫等)弄錯
いきなり,0,行き成り,突然、冷不防
いきもの,2,生物,生物、生命
いきる,2,生きる,生存、謀生、有效、活
いく/ゆく,0,行く,去
いく,1,幾,多少、許多
いくじ,1,育児,育兒
いくせい,0,育成,培養、培育
いくた,1,幾多,幾多、許多
いくつ,1,幾つ,多少、幾個、幾歲
いくぶん,0,幾分,某種程度
いくら,1,幾ら,多少、多少錢、不論多少
いくら〜ても,,いくら〜ても,即使多麼…也、不論…也…
いけ,2,池,池子
いけない,0,いけない,不好、不可以
いけばな,2,生花,插花、生花
いける,2,生ける/活ける「花を〜」,使活下去
いけん,1,意見,意見、規勸
いけん,0,異見,不同見解
いご,1,以後,…以後、今後
いこう,1,以降,以後
いこう,0,移行,過渡、移轉
いこう,0,意向,意向、志向、打算
イコール,2,equal,相等、等於、等號
いざ,1,いざ,喂、哎、嘿
いさましい,4,勇ましい,勇敢的、活躍的
いし,2,石,石頭、礦石、寶石
いし,1,意思/意志,意志、意思
いし,1,医師,醫生
いじ,1,維持,維持
いじ,2,意地,意地
いしき,1,意識,意識
いじめる,4,苛める,欺負、捉弄
いしゃ,0,医者,醫生
いじゅう,0,移住,移居
いしょう,1,衣装,戲裝、服裝
いじょう,1,以上,以上
いじょう,0,異常,異常
いしょくじゅ,1,衣食住,衣食住
いじる,3,弄る,擺弄
いじわる,2,意地悪,惡意、使壞、刁難
いす,0,椅子,椅子
いずみ,0,泉,泉水
いずれ,0,何れ,哪個
いせい,0,異性,異性
いせき,0,遺跡,遺跡
いぜん,1,以前,以前
いぜん,0,依然,依然
いそがしい,4,忙しい,繁忙的、忙碌的
いそぐ,2,急ぐ,急速
いぞん,0,依存,依存
いた,0,板,木板
いたい,2,痛い,疼、疼痛
いだい,0,偉大,偉大
いたく,0,委託,委託
いだく,2,抱く,抱、懐抱
いたす,2,致す,〔謙讓語〕致、達
いたずら,0,悪戯,惡作劇
いただき,0,頂「山の〜」,頂部
いただきます。,5,頂きます。,我要吃了
いただく,4,頂く,〔謙讓語〕領、戴、吃、喝
いたって,0,至って【比とても更正式】,非常、至極（比とても更正式）
いたみ,3,痛み,損傷、腐敗
いたむ,2,痛む,疼痛
いためる,3,炒める,炒
いためる,3,傷める,損傷
いたる,2,至る,至、到達
いたわる,3,労わる,安慰、憐憫
いち,2,一,一
いち,1,「日本一」,第一、最好
いち,1,市,市場
いち,2,位置,位置、地位、位於
いちいち,2,一々,一個一個地、逐一
いちおう,0,一応,姑且、一併
いちがいに,0,一概に,一概
いちじ,2,一時,一段時間
いちじるしい,5,著しい,明顯的
いちだんと,0,一段と,更加
いちど,3,一度,一回、一次
いちどう,3,一同,全體
いちどに,3,一度に,同時
いちにち,4,一日,一日、終日
いちば,1,市場,市場
いちばん,,一番,最初、最好/最、頂
いちぶ,2,一部,一部、一份
いちぶぶん,3,一部分,一部分
いちべつ,0,一別/一瞥,一別/看一眼
いちめん,0,一面,全體、一面、片面
いちもく,0,一目,一眼、一看
いちよう,0,一様,一樣
いちりつ,0,一律,一律
いちりゅう,0,一流,一流
いちれん,0,一連,一串
いつ,1,何時,何時、什麼時候
いっか,1,一家,全家
いつか,0,五日,五日、五號
いつか,1,何時か,以前、早晚、不知不覺
いっかつ,0,一括,包括
いっき,1,一気,一口氣
いっきょに,1,一挙に,一舉
いっけん,0,一見,看一次
いっさい,1,一切,一切
いっさくじつ,0,一昨日,前天
いっさくねん,0,一昨年,前年
いっしゅ,1,一種,一種
いっしゅん,0,一瞬,瞬間
いっしょ,0,一緒,一同、一起
いっしょう,0,一生,一生
いっしょうけんめい,5,一生懸命,非常努力、拼命
いっしん,3,一心,齊心
いっせい,0,一斉（に）,一齊
いっそ,0,いっそ,寧可、倒不如
いっそう,0,一層,更、越發
いったい,0,一体,一體、究竟、到底
いったい,0,一帯,一帶
いったん,0,一旦,一旦、既然
いっち,0,一致,一致
いつつ,2,五つ,五個、五歲
いってい,0,一定,統一規定、固定
いっていらっしゃい。,0,行っていらっしゃい。,慢走、走好（送人出門道別用語）
いってまいります。,7,行って参ります。,我走了
いつでも,1,何時でも,隨時、總是
いってらっしゃい。,6,行ってらっしゃい。,慢走
いつのまにか,1,いつのまにか,不知什麼時候
いっぱい,0,一杯,滿、全部
いっぱん,0,一般（に）,一般、普通
いっぺん,0,一変,完全改變
いっぽう,3,一方,一方面、越來越
いつまでも,1,何時までも,永遠、始終
いつも,1,何時も,總是、往常、經常、平時
いてん,0,移転,遷移、轉讓
いと,1,糸,線、絲
いと,1,意図,企圖
いど,1,井戸,井
いど,1,緯度,緯度
いどう,0,移動,移動、巡迴
いどう,0,異動,調動
いとこ,2,従兄弟、従姉妹,堂兄弟姊妹、表兄弟姊妹
いとなむ,3,営む,經營
いどむ,2,挑む,挑戰、挑逗
いない,1,以内,以內
いなか,0,田舎,鄉下、故鄉
いなびかり,3,稲光,閃電
いぬ,2,犬,狗
いね,1,稲,水稻
いねむり,2,居眠り,打瞌睡
いのち,1,命,生命、命脈
いのり,3,祈り,祈禱
いのる,2,祈る,祈禱、祝福
いばる,2,威張る,驕傲、逞威風
いはん,0,違反,違反
いびき,3,鼾,鼾聲
いふく,1,衣服,衣服
いま,1,今,現在、馬上
いま,2,居間,起居室
いまさら,0,今更,事到如今、現在才
いまだ,0,未だ,至今、仍然、尚未
いまに,1,今に,即將
いまにも,1,今にも,馬上、就要
いみ,1,意味,意思、含義、價值
いみん,0,移民,移民
イメージ,1,image,印象、形象、映像
いもうと（さん）,0,妹（さん）,妹妹
いや,2,嫌,討厭、不願意
いやいや,0,嫌々,不、無奈
いやがる,3,嫌がる,嫌、討厭
いやしい,0,卑しい,卑贱的；贪婪的；卑鄙的
いやに,2,いやに,過於
いやらしい,4,嫌らしい,令人不快、下流
いよいよ,2,愈々,越發、終於
いよく,1,意欲,意願
いらい,0,依頼,委託、依靠
いらい,1,以来,以來、今後
いらいら,1,いらいら,著急
いらっしゃい（ませ）。,,いらっしゃい（ませ）。,請來、歡迎
いらっしゃる,4,いらっしゃる,在、來、去
いりぐち,0,入り口,入口、門口
いりょう,0,医療,醫療
いりょう,1,衣料,布料
いりょく,1,威力,威力
いる,0,居る,有、居住
いる,0,要る,要、需要
いる,1,煎る、炒る,炒、煎
いるい,1,衣類,衣服
いれもの,0,入物,容器
いれる,0,入れる,容納、採用、娤、放
いろ,2,色,色、色彩
いろいろ,0,色々,各式各樣
いろん,0,異論,異論
いわ,2,岩,岩石
いわい,2,祝,祝賀、贈品
いわう,2,祝う,祝賀、慶祝
いわば,0,言わば,可以说；换言之；比喻地说
いわゆる,2,所謂,所謂、也就是說
いん,1,員,人員、成員
いんかん,0,印鑑,印鑑、圖章
インキ,0,インキ,ink
いんき,0,陰気,陰暗、陰鬱、憂鬱
いんきょ,0,隠居,退休的老年人、卸去所掌管的家務的人
インク,0,inkt,墨水、油墨
いんさつ,0,印刷,印刷
いんしょう,0,印象,印象
インターチェンジ,5,interchange,高速公路出入口
インターナショナル,5,international,國際(的)
インターフォン,3,interphone,內線電話、內部通訊裝置
いんたい,0,引退,退休
インタビュー,1,interview,採訪、訪談
インテリ,0,intelligentsiya,知識份子、文化人
インフォーメーション,4,information,情報、詢問處
インフォメーション,4,information,情報、詢問處
インフレ,0,inflation,通貨膨脹
いんよう,0,引用,引用
いんりょく,1,引力,引力
ウイスキー,2,whisky,威士忌
ウイルス,2,virus,病毒
ウーマン,1,woman,女人、婦女
ウール,1,wool,羊毛
うえ,0,上,上、上面
ウエートレス/ウエイトレス,2,waitress,女服務員
うえき,0,植木,盆栽、庭院的樹木
うえる,0,植える,種、植
うえる,2,飢える,飢餓、渴求
うお,0,魚,魚
うがい,0,嗽,漱口
うかがう,0,伺う「お宅に伺う」,拜訪
うかがう,0,伺う「話を伺う」,請教、打聽
うかぶ,0,浮かぶ,漂浮、呈現、湧上
うかべる,0,浮かべる,使〜浮起、想起
うかる,2,受かる,考上
うく,0,浮く,浮、漂、不牢固
うけいれ,0,受け入れ,接受、接納、收入、答應、承諾
うけいれる,0,受け入れる,接受、收容、採納
うけたまわる,0,承る,接受（命令、吩咐）；遵从；奉命；秉承（旨意）
うけつぐ,0,受け継ぐ,继承；接替；传承
うけつけ,0,受付,接受、接收、受理
うけつける,0,受け付ける,受理、接受申請
うけとめる,0,受け止める,接住；理解；接受；领会
うけとり,0,受け取り,收領
うけとる,0,受け取る,收、接、領、理解、領會
うけみ,2,受身,被動、被動態
うけもち,0,受け持ち,擔任、擔當
うけもつ,0,受け持つ,擔任、擔當
うける,2,受ける,收、接受、受到、認同
うごかす,3,動かす,移動、搖動
うごき,3,動き,動、活動、移動
うごく,2,動く,動、移動、搖動
うさぎ,0,兎,兔子
うし,0,牛,牛
うしなう,0,失う,失去、失掉
うしろ,0,後ろ,後、後面、後方
うず,1,渦,漩渦、渦流
うすい,0,薄い,薄的、淺的
うすぐらい,0,薄暗い,微暗
うすめる,0,薄める,稀釋
うずめる,0,埋める,堆滿、佔滿、填補
うそ,1,嘘,謊言、假話
うそつき,2,嘘つき,說謊的人
うた,2,歌,歌、歌曲
うたう,0,歌う,歌頌、頌揚、唱、鳴
うたがう,0,疑う,懷疑、疑惑
うたたね,0,転寝,假睡、打瞌睡
うち,0,家「わたしのうち」,家庭、房子、住宅
うち,0,うち「この二つのうち」「三つの〜」,之中
うちあける,0,打ち明ける,坦白、吐露（秘密）
うちあわせ,0,打ち合わせ,商量、磋商
うちあわせる,0,打ち合わせる,事先商量、協商
うちきる,0,打ち切る,中止；停止；切断
うちけし,0,打ち消し,否定、取消
うちけす,0,打ち消す,否定、打消
うちこむ,0,打ち込む,全心投入、埋頭於
うちゅう,1,宇宙,宇宙
うちわ,2,団扇,相撲的裁判扇
うちわけ,0,内訳,細目、明細
うつ,1,打つ,打、碰撞
うつ,1,討つ、撃つ,討伐、斬、射撃
うっかり,3,うっかり,不經神、不留神
うつくしい,4,美しい,美麗、好看
うつし,3,写し,抄寫、攝影
うつす,2,写す,抄、摹寫、照
うつす,2,移す,移、遷、挪、搬
うつす,2,映す,抄、映
うったえ,0,訴え,控告、申訴、呼籲
うったえる,0,訴える,控告、申訴、訴說
うっとうしい,5,鬱陶しい,沉悶
うつむく,0,俯く,低頭、俯首
うつる,2,映る,映、照
うつる,2,移る,遷移、變動
うつる,2,写る,透過來、照相
うつろ,0,空ろ,空、空虚
うつわ,0,器,器
うで,2,腕,胳膊、手腕
うでまえ,0,腕前,本領、技術、手藝
うてん,1,雨天,雨天
うどん,0,饂飩,麵條、烏龍麺
うながす,3,促す,催促
うなずく,0,頷く,點頭、點頭稱是
うなる,0,唸る,哼哼
うぬぼれ,0,自惚れ,自滿自大
うばう,2,奪う,搶奪、除去
うま,2,馬,馬
うまい,2,美味い、旨い/上手い、巧い,好吃的/巧妙、高明、方便
うまる,0,埋まる,埋
うまれ,0,生まれ,出生
うまれつき,0,生まれつき,天生
うまれる,0,生まれる,產生、出現
うみ,1,海,海、海洋
うむ,1,有無,有沒有
うむ,0,産む,新生
うめ,0,梅,梅子
うめこむ,3,埋め込む,內蔵
うめぼし,0,梅干,鹹梅
うめる,0,埋める,埋
うやまう,3,敬う,尊敬
うら,2,裏,裡面、背面
うらがえし,3,裏返し,表裡相反
うらがえす,3,裏返す,翻過來
うらぎる,3,裏切る,背叛
うらぐち,0,裏口,後門
うらなう,3,占う,占卜
うらみ,3,恨み,恨
うらむ,2,恨む,埋怨
うらやましい,0,羨ましい,令人羨慕的、羨慕
うらやむ,3,羨む,羨慕
うりあげ,0,売り上げ,銷售額、銷售量
うりきれ,0,売り切れ,賣完
うりきれる,4,売り切れる,賣完
うりだし,0,売り出し,開始發賣、拍賣
うりだす,3,売り出す,開始出賣、拍賣、降價賣
うりば,0,売り場,出售處、售票處、銷售處
うる,0,売る,賣、售、販賣
うるおう,3,潤う,滋潤
うるさい,3,煩い,吵、麻煩的
うれしい,3,嬉しい,開心、歡喜的、高興的
うれゆき,0,売れ行き,銷售狀況
うれる,0,売れる,暢銷、有名
うろうろ,1,うろうろ,徘徊、徬徨
うわ,0,上,上面、表面、高
うわき,0,浮気,輕浮
うわぎ,0,上着,外衣、上衣
うわさ,0,噂,傳言
うわまわる,4,上回る,超過
うわる,0,植わる,栽着
うん,1,うん,是、嗯
うん,1,運,運、運氣、命運
うんえい,0,運営,經營
うんが,1,運河,運河
うんざり,3,うんざり,厭膩
うんそう,0,運送,運送
うんちん,1,運賃,運費
うんてん（する）,0,運転（する）,運轉、駕駛、開車
うんてんしゅ,3,運転手,駕駛員
うんと,1,うんと,多、有的是、非常
うんどう（する）,0,運動（する）,運動、活動
うんぬん,0,云々,等等、議論、説三道四
うんぱん,0,運搬,搬運
うんめい,1,運命,命運
うんゆ,1,運輸,運輸
うんよう,0,運用,運用
え,1,絵,圖畫、畫
え,0,柄,柄
え（っ）,0,え（っ）,嗯
エアメール,3,airmail,航空郵件
えい,,営,經營
えいえん,0,永遠,永遠
えいが,0,映画,電影
えいがかん,3,映画館,電影院
えいきゅう,2,永久,永久
えいきょう,0,影響,影響
えいぎょう,0,営業,營業
えいご,0,英語,英語
えいじ,0,英字,英文
えいしゃ,0,映写,放映
えいせい,0,衛生,衛生
えいせい,0,衛星,衛星
えいぞう,0,映像,映像
えいぶん,0,英文,英文
えいゆう,0,英雄,英雄
えいよう,0,栄養,營養
えいわ,0,英和,英日
ええ,1,ええ,嗯、對
ええと,0,ええと,唉呀（一時想不起來的聲音）
えがお,1,笑顔,笑臉
えがく,2,描く,畫
えき,1,駅,車站
えき,1,液,液
えきたい,0,液体,液體
えさ,2,餌,飼料
エスカレーター,4,escalator,電動手扶梯、自動樓梯
えだ,0,枝,枝、樹枝
エチケット,1,étiquette,禮節、禮貌
えつらん,0,閲覧,閱覽
エネルギー,2,Energie,能量、活力、精力
えのぐ,0,絵具,顏料
エプロン,1,apron,圍裙
えもの,0,獲物,獵物、所獲之物
えらい,2,偉い,偉大的、地位高、嚴重
えらぶ,2,選ぶ,選擇
えり,2,襟,領子
える/うる,1,得る,得到
エレガント,1,elegant,優美的
エレベーター,3,elevator,電梯
えん,,円,日元、圓
えん,1,円,圓周、日元
えん,,園,園
えん,1,縁,緣
えんかい,0,宴会,宴會
えんかつ,0,円滑,順利圓滿
えんがわ,0,縁側,簷下的走廊
えんがん,0,沿岸,沿岸
えんき,0,延期,延期
えんぎ,1,演技,演技
えんきょく,0,婉曲,婉轉
えんげい,0,園芸,園藝
えんげき,0,演劇,戲劇
エンジニア,3,engineer,工程師、技師
えんしゅう,0,演習,實地演習、課堂討論
えんしゅう,0,円周,圓周
えんしゅつ,0,演出,演出
えんじょ,1,援助,援助
えんじる．ずる,0,演じる．ずる,扮演
エンジン,1,engine,引擎、發動機
えんぜつ,0,演説,演說
えんせん,0,沿線,沿線
えんそう,0,演奏,演奏
えんそく,0,遠足,遠足
えんだん,0,縁談,提親
えんちょう,0,延長,延長
えんとつ,0,煙突,煙囪
えんぴつ,0,鉛筆,鉛筆
えんぽう,0,遠方,遠處
えんまん,0,円満,圓滿
えんりょ（する）,0,遠慮（する）,遠慮
お,1,尾,尾巴、尾狀物
お/おん,,御,表示尊敬、表示謙遜
おい,0,甥,外甥
おい,1,おい,喂
おいかける,4,追い掛ける,追趕
おいこす,3,追い越す,越過
おいこむ,3,追い込む,趕入
おいしい,0,美味しい,好吃的、美味的
おいだす,3,追い出す,趕出去
おいつく,3,追い付く,追上
おいて,1,於いて,在…
おいでになる,5,お出でになる,來、去
オイル,1,oil,油、石油
おいる,2,老いる,年老
おいわい,0,お祝い,祝福
おう,0,追う,追求、趕、驅逐
おう,1,王,國王
おう,0,負う,背、負負擔
おうえん,0,応援,援助、支援
おうきゅう,0,応急,應急
おうごん,0,黄金,黃金、金錢
おうさま,0,王様,國王
おうじ,1,王子,王子
おうじょ,1,王女,王女
おうじる/おうずる,0,応じる/応ずる,回答、接受
おうしん,0,往診,出診
おうせつ,0,応接,應接、接待
おうせつま,0,応接間,接待室
おうたい,0,応対,應對、面談、應酬
おうだん,0,横断,橫斷、橫渡、橫穿
おうだんほどう,5,横断歩道,人行道（横穿馬路的）
おうふく,0,往復,往復、往返
おうべい,0,欧米,歐美
おうぼ,0,応募,應募、應召、應徵
おうよう,0,応用,應用、運用
おえる,0,終える,完結、終了、結束
おお,1,おお,噢、哎呀
おお,,大,大、廣、多
おおい,1,多い,多的
おおい,,おおい,喂
おおいに,1,大いに,大、非常、很、甚
おおう,0,覆う,蓋、覆蓋、蒙、掩蓋、隱藏
おおかた,0,大方,基本上、大體上、大概
おおがら,0,大柄,體型大、個兒大
おおきい,3,大きい,大的、巨大的、高大的
おおきな,1,大きな,大、大的
オーケー,1,okay,好、可以
